"gc","map"
0.364114,0.908876
0.373881,0.917336
0.378114,0.906578
0.41205,0.880028
0.39701,0.847096
0.462379,0.868363
0.398677,0.417027
0.381189,0.714907
0.392195,0.6013
0.381959,0.367991
0.396366,0.348661
0.409454,0.216134
0.425568,0
0.395931,0
0.414279,0.672902
0.417432,0.597454
0.484934,0.672011
0.414444,0.750194
0.416998,0.857519
0.455965,0.889115
0.460518,0.865634
0.470946,0.90358
0.464215,0.917548
0.420457,0.933604
0.385785,0.910911
0.384266,0.881318
0.375108,0.832931
0.371838,0.844597
0.398109,0.803518
0.421501,0.619878
0.401837,0.68465
0.418439,0.66133
0.429636,0.802241
0.423254,0.685564
0.363917,0.906028
0.422283,0.890948
0.436963,0.887819
0.415527,0.861185
0.459351,0.914516
0.417445,0.881542
0.428808,0.944925
0.449995,0.867461
0.452743,0.925767
0.488328,0.898793
0.439537,0.915131
0.434248,0.892013
0.437761,0.912689
0.450429,0.854279
0.449253,0.892019
0.464994,0.748825
0.486492,0.631379
0.548142,0.386769
0.500509,0.890845
0.515195,0.898717
0.568306,0.882034
0.533158,0.844361
0.472185,0.904851
0.400163,0.887319
0.38299,0.910102
0.420709,0.914908
0.401895,0.930272
0.445703,0.945168
0.423572,0.904795
0.415963,0.935997
0.430849,0.937291
0.43511,0.938886
0.408296,0.90324
0.399819,0.903156
0.414895,0.891001
0.385136,0.869553
0.451734,0.918644
0.423738,0.858
0.434146,0.889688
0.408661,0.875622
0.370811,0.921095
0.364571,0.905133
0.359337,0.888045
0.352218,0.883804
0.352542,0.855146
0.364816,0.881122
0.395929,0.88139
0.365836,0.897338
0.365567,0.932685
0.384399,0.937724
0.376514,0.911901
0.411687,0.91942
0.419543,0.875854
0.424345,0.901827
0.418331,0.905624
0.413876,0.847558
0.3552,0.884359
0.352045,0.84635
0.36474,0.887175
0.367466,0.9047
0.368065,0.886949
0.376081,0.872812
0.405844,0.930513
0.477923,0.882543
0.474198,0.891252
0.447362,0.906323
0.464415,0.907046
0.39395,0.91963
0.364911,0.876505
0.318075,0.854369
0.368884,0.923788
0.400982,0.89704
0.400805,0.882899
0.349392,0.891096
0.366388,0.921121
0.364135,0.881493
0.451295,0.886742
0.384834,0.924293
0.407877,0.907261
0.419083,0.892641
0.514449,0.889811
0.478439,0.864344
0.439805,0.882379
0.542678,0.841264
0.517806,0.913664
0.495156,0.898225
0.500751,0.875046
0.486826,0.855021
0.519159,0.795086
0.486296,0.860845
0.446094,0.926998
0.47107,0.905525
0.449903,0.865391
0.417561,0.876674
0.465316,0.83165
0.449604,0.887233
0.43083,0.894154
0.433261,0.913255
0.419582,0.925504
0.373722,0.893299
0.357633,0.899308
0.377855,0.873592
0.39144,0.91253
0.36559,0.929604
0.380858,0.84602
0.409705,0.904746
0.37055,0.922162
0.368173,0.927506
0.363736,0.891797
0.357852,0.873386
0.360823,0.891782
0.396483,0.91679
0.400612,0.914943
0.407854,0.862066
0.390716,0.887436
0.378844,0.884691
0.357265,0.856768
0.355163,0.81652
0.34798,0.863694
0.374506,0.87002
0.376919,0.886497
