"gc","map"
0.614792,0.976838
0.643147,0.973947
0.649124,0.979164
0.642267,0.973406
0.598664,0.961411
0.531611,0.952544
0.577441,0.932521
0.579219,0.576073
0.577301,0.948617
0.433061,0.692452
0.237172,0.68364
0.339969,0.615473
0.584579,0.488437
0.61656,0.410308
0.448433,0.73702
0.561378,0.86961
0.510015,0.93992
0.561021,0.834113
0.565977,0.967496
0.592802,0.954074
0.561643,0.96216
0.567392,0.955479
0.597657,0.978749
0.637951,0.978554
0.604544,0.977454
0.567461,0.973508
0.580746,0.933239
0.616599,0.957686
0.592571,0.934508
0.5429,0.953875
0.567582,0.922907
0.563618,0.842563
0.575221,0.941648
0.568518,0.890729
0.61636,0.97084
0.63926,0.972226
0.636335,0.968932
0.608743,0.957052
0.578036,0.978853
0.566828,0.96807
0.514592,0.974555
0.553506,0.962574
0.608018,0.975441
0.641767,0.975872
0.611333,0.97905
0.634242,0.974696
0.589583,0.973195
0.538781,0.958974
0.540172,0.961061
0.575053,0.960315
0.542711,0.832513
0.572635,0.794092
0.593711,0.882337
0.60151,0.977231
0.574927,0.967154
0.605741,0.944262
0.591124,0.971332
0.625209,0.964717
0.621631,0.975052
0.640795,0.977981
0.65297,0.981501
0.648849,0.982845
0.64045,0.97706
0.629659,0.982765
0.627196,0.978326
0.64261,0.983071
0.644811,0.974646
0.621947,0.97595
0.614055,0.963422
0.609883,0.963843
0.618661,0.974484
0.606048,0.963576
0.602464,0.967672
0.631143,0.967397
0.646855,0.975776
0.655701,0.977138
0.62767,0.969658
0.617867,0.966429
0.599889,0.955436
0.610801,0.963557
0.608278,0.965751
0.633898,0.963751
0.638666,0.983655
0.639916,0.980121
0.634986,0.975475
0.63449,0.977751
0.644498,0.970632
0.626923,0.96608
0.604811,0.973204
0.607047,0.952913
0.592405,0.961954
0.604713,0.951476
0.58168,0.963904
0.59344,0.971802
0.598612,0.968656
0.613033,0.961786
0.595974,0.978587
0.606497,0.967872
0.615294,0.971659
0.626977,0.966948
0.636985,0.975685
0.632632,0.97662
0.631247,0.964536
0.629492,0.954913
0.658779,0.981251
0.654834,0.973035
0.632592,0.965578
0.645691,0.973606
0.645201,0.976481
0.632588,0.965291
0.6104,0.964167
0.608724,0.974978
0.649534,0.9743
0.661823,0.972639
0.657768,0.966598
0.627233,0.96132
0.615083,0.965838
0.598178,0.948797
0.635214,0.977026
0.611869,0.968124
0.595132,0.968686
0.589718,0.945799
0.584299,0.93458
0.597355,0.947775
0.612815,0.980319
0.596043,0.976847
0.59898,0.954951
