"gc","map"
0.439842,0.519177
0.44725,0.501125
0.452842,0.560166
0.486094,0.835837
0.382366,0.958935
0.407606,0.928489
0.441318,0.851609
0.477302,0.935605
0.42711,0.957742
0.401982,0.978156
0.331121,0.934511
0.432494,0.969306
0.428246,0.990095
0.424086,0.986779
0.403262,0.981615
0.48557,0.960104
0.518446,0.955986
0.523002,0.983213
0.500378,0.977891
0.542206,0.974645
0.575702,0.969401
0.520702,0.985163
0.525594,0.974372
0.488606,0.980348
0.446174,0.963297
0.440622,0.93913
0.49787,0.938092
0.550154,0.972285
0.533062,0.97417
0.512274,0.978319
0.47977,0.967618
0.56367,0.952715
0.546234,0.939347
0.537702,0.953505
0.59461,0.953921
0.539414,0.924238
0.502198,0.946046
0.480298,0.955173
0.49379,0.927668
0.517806,0.914694
0.55419,0.916614
0.554922,0.933162
0.48891,0.975678
0.478606,0.958459
0.540438,0.933439
0.495598,0.949884
0.477762,0.959419
0.48465,0.94312
0.486394,0.945057
0.581462,0.967409
0.52397,0.953656
0.447366,0.760809
0.535778,0.661169
0.53057,0.800728
0.555674,0.941372
0.560314,0.970998
0.577382,0.973719
0.574358,0.959195
0.543854,0.975656
0.504738,0.962274
0.504334,0.968335
0.512978,0.945354
0.524558,0.935171
0.523078,0.930499
0.450374,0.945777
0.527074,0.916537
0.522122,0.760275
0.39579,0.804518
0.504442,0.962634
0.500934,0.937257
0.46783,0.96832
0.516266,0.981307
0.505374,0.984178
0.511306,0.985358
0.501602,0.976187
0.49171,0.981482
0.53987,0.973304
0.502678,0.964
0.523862,0.945635
0.546606,0.950228
0.539878,0.964112
0.505846,0.981137
0.505826,0.94454
0.604642,0.959608
0.573814,0.941845
0.513898,0.907874
0.498838,0.962005
0.480654,0.919495
0.509266,0.945715
0.530662,0.974569
0.484274,0.979956
0.498326,0.968229
0.562654,0.951039
0.543222,0.944493
0.51569,0.926715
0.535614,0.922301
0.514978,0.953334
0.541434,0.968485
0.54215,0.936294
0.524766,0.96628
0.515882,0.962476
0.554258,0.832901
0.509466,0.962391
0.51219,0.955034
0.51167,0.944206
0.509638,0.935867
0.528602,0.926618
0.50487,0.930284
0.50843,0.917995
0.51459,0.935884
0.491514,0.948899
0.54149,0.934206
0.567382,0.931882
0.552814,0.910548
0.526142,0.895846
0.541386,0.933143
0.549018,0.937926
0.508866,0.969503
0.513406,0.982406
0.531566,0.980009
0.521978,0.978893
0.519158,0.965941
0.513474,0.980633
0.515786,0.967506
0.534734,0.918573
0.552122,0.947249
0.48955,0.974439
0.53095,0.947494
0.52753,0.925729
0.521874,0.930328
0.538562,0.906884
0.520386,0.940508
0.537654,0.950384
0.531202,0.974739
0.553806,0.974505
0.541442,0.981693
0.549758,0.977185
0.567458,0.984809
0.555914,0.975049
0.534838,0.968385
0.577078,0.914317
0.597574,0.951689
0.548798,0.955204
0.58095,0.944294
0.525018,0.933481
0.515946,0.941052
0.517454,0.977528
0.503578,0.989429
0.537494,0.981902
0.515022,0.964344
0.52455,0.952713
0.531314,0.927897
0.507234,0.973635
0.569094,0.975344
0.552354,0.970883
0.55237,0.928642
0.553546,0.928237
0.577982,0.954636
0.515534,0.94209
0.519814,0.929602
0.584394,0.944866
0.567874,0.950113
0.558186,0.942349
0.51333,0.964546
0.591866,0.951575
0.496866,0.984596
0.502294,0.983802
0.558914,0.975171
0.585686,0.967533
0.593146,0.964917
0.582186,0.949782
0.541194,0.955026
0.553486,0.942916
0.517854,0.961678
0.50165,0.960236
0.527198,0.974157
0.539058,0.95724
0.550998,0.973232
0.509826,0.956478
0.538606,0.928671
0.58265,0.934048
0.562762,0.929028
0.558682,0.924295
0.590602,0.945815
0.547366,0.944635
0.505562,0.940236
0.54013,0.966202
0.579758,0.860653
0.565886,0.886384
0.551998,0.946101
0.528594,0.982669
0.510962,0.988
0.56517,0.96512
0.61935,0.941589
0.559498,0.982823
0.595254,0.985618
0.613826,0.961738
0.624731,0.965012
0.627971,0.93816
0.630683,0.948108
0.596662,0.977732
0.56537,0.971337
0.618114,0.952642
0.617346,0.947209
0.596874,0.944961
0.581566,0.950058
0.592378,0.957009
0.584862,0.963786
0.578246,0.926601
0.588214,0.946739
0.561134,0.941644
0.578294,0.930125
0.53395,0.964859
0.50647,0.975695
0.491758,0.989756
0.575966,0.948312
0.527346,0.96143
0.496022,0.95528
0.512466,0.946405
0.524418,0.953302
0.578482,0.969299
0.57427,0.962036
0.589286,0.975204
0.608018,0.979492
0.60851,0.975074
0.580786,0.975216
0.607338,0.96501
0.585614,0.989639
0.58759,0.982299
0.595054,0.982571
0.597158,0.968938
0.595778,0.98406
0.584114,0.971813
0.58067,0.97052
0.599598,0.966533
0.567542,0.979869
0.581802,0.980667
0.60017,0.962221
0.590222,0.947647
