"gc","map"
0.443545,0.514836
0.469467,0.797348
0.394987,0.943877
0.459309,0.897595
0.414547,0.96795
0.381807,0.954766
0.426167,0.988444
0.444415,0.97088
0.520725,0.969741
0.521291,0.97627
0.548203,0.977335
0.507099,0.977357
0.443397,0.951256
0.524013,0.955264
0.522667,0.976234
0.521721,0.960158
0.541967,0.946428
0.567013,0.939067
0.491247,0.950615
0.505797,0.92118
0.554555,0.924907
0.483759,0.967074
0.518017,0.941737
0.481207,0.951306
0.533927,0.956263
0.485669,0.888419
0.533175,0.762389
0.557993,0.95626
0.575871,0.9665
0.524297,0.96897
0.508655,0.956893
0.523819,0.932837
0.488723,0.931142
0.458957,0.781317
0.502687,0.949983
0.492049,0.974827
0.508341,0.984768
0.496657,0.978835
0.521273,0.968674
0.535235,0.947936
0.522863,0.972648
0.555233,0.952034
0.543857,0.9252
0.489745,0.941013
0.519963,0.96029
0.491299,0.974109
0.552939,0.947774
0.525653,0.924525
0.528207,0.960941
0.533457,0.951252
0.535069,0.903891
0.510829,0.958673
0.510655,0.940048
0.516737,0.928455
0.511509,0.926956
0.516503,0.941612
0.560099,0.921257
0.533765,0.914612
0.528943,0.953724
0.522487,0.981205
0.520569,0.972566
0.514629,0.974061
0.543427,0.932934
0.510249,0.961015
0.524701,0.928025
0.529473,0.923682
0.534427,0.962603
0.547625,0.978094
0.558609,0.981004
0.545377,0.971698
0.587327,0.933093
0.564875,0.949757
0.520483,0.937268
0.510517,0.983487
0.526259,0.973069
0.527931,0.940412
0.538163,0.974487
0.552361,0.94989
0.565765,0.941429
0.517673,0.935892
0.576135,0.947469
0.535757,0.953504
0.544367,0.968317
0.530605,0.979514
0.589417,0.966225
0.561691,0.952405
0.535671,0.952394
0.514425,0.967214
0.545027,0.965254
0.524217,0.942641
0.572707,0.93152
0.574643,0.9351
0.526465,0.942421
0.559945,0.915818
0.558943,0.91765
0.519779,0.985332
0.592259,0.953379
0.577375,0.98422
0.619277,0.96337
0.629325,0.943087
0.581017,0.974533
0.617731,0.949962
0.589221,0.947491
0.588621,0.96041
0.583231,0.936795
0.569715,0.93589
0.520209,0.97028
0.533863,0.969117
0.511683,0.958361
0.518441,0.949859
0.576377,0.965675
0.598653,0.977356
0.594647,0.975145
0.596477,0.977375
0.591321,0.982435
0.596467,0.976525
0.582391,0.971176
0.583571,0.973189
0.590985,0.971592
0.603195,0.963254
0.623195,0.971656
0.605039,0.971561
0.602663,0.97996
0.597611,0.951856
0.566785,0.947541
0.619149,0.957434
0.602645,0.965049
0.590263,0.976876
0.591561,0.96547
0.595905,0.975026
0.588097,0.959276
0.626867,0.960404
0.617705,0.965706
0.627035,0.974683
0.596849,0.950893
0.585147,0.975183
0.600715,0.964228
0.625689,0.965643
0.631973,0.967702
0.644511,0.969298
0.626473,0.966921
0.621319,0.966839
0.632651,0.974288
0.644133,0.984081
0.655969,0.980688
0.648725,0.974154
0.650771,0.973942
0.645381,0.985673
0.645147,0.970084
0.625905,0.966535
0.626301,0.966289
0.621215,0.950288
0.608921,0.975859
0.617523,0.970137
0.616965,0.974783
0.606663,0.955465
0.615929,0.955645
0.639491,0.976997
0.642855,0.974732
0.643261,0.963729
0.649157,0.971782
0.649971,0.977558
0.633955,0.981937
0.633191,0.974923
0.627353,0.975827
0.640301,0.984503
0.632599,0.777999
0.619839,0.9825
0.624517,0.975722
0.597277,0.975452
0.605079,0.970824
0.620639,0.943741
0.624437,0.96527
0.612365,0.949445
0.598359,0.975575
0.617023,0.983084
0.626509,0.982685
0.618501,0.960738
0.609935,0.937673
0.595831,0.972186
0.617547,0.967801
0.610855,0.970181
0.604459,0.932725
0.579693,0.961243
0.605219,0.943558
0.608079,0.939898
0.612955,0.956792
0.574343,0.956527
0.590167,0.964561
0.576147,0.967106
0.606359,0.964878
0.628325,0.981204
0.628183,0.966468
0.625255,0.964507
0.639035,0.975803
0.655431,0.986048
0.640849,0.983997
0.632981,0.9703
0.630003,0.966111
0.615355,0.962262
0.615341,0.965668
0.621683,0.957263
0.611731,0.972834
0.643497,0.978858
0.652979,0.969932
0.650903,0.963802
0.656313,0.964671
0.650375,0.959867
0.644469,0.968603
0.652629,0.964266
0.658453,0.975076
0.654167,0.969655
0.649815,0.972022
0.640849,0.976681
0.624985,0.986247
0.616645,0.973863
0.600659,0.907794
0.598597,0.959024
0.542385,0.950653
0.534267,0.952057
0.524853,0.97915
0.586167,0.977208
0.596765,0.961201
0.558481,0.979817
0.574259,0.962509
0.557947,0.929533
0.590871,0.945606
0.610345,0.95896
0.572325,0.962594
0.615055,0.954436
0.578299,0.978666
0.586933,0.9647
0.578827,0.978298
0.559775,0.938684
0.597663,0.961024
0.591025,0.973458
0.623707,0.971597
0.615825,0.956636
0.590663,0.958433
0.576599,0.950398
0.593175,0.558225
0.594499,0.555159
0.588487,0.670098
0.554811,0.714656
0.549465,0.460736
0.608279,0.507414
0.607957,0
0.607883,0
0.607513,0
0.600427,0.723374
0.22345,0.81088
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.372187,0.573075
0.575923,0.779753
0.577161,0.540495
0.577435,0.530888
0.571243,0.541632
0.566471,0.8518
0.580685,0.665607
0.584127,0.572165
0.598357,0.920229
0.578889,0.929524
0.574093,0.743247
0.595047,0.548296
0.590059,0.516851
0.566757,0.763374
0.569029,0.93069
0.557187,0.924107
0.535549,0.927499
0.549613,0.955156
0.585255,0.949147
0.584437,0.965468
0.575121,0.956388
0.516859,0.937105
0.545485,0.916244
0.521689,0.959666
0.506035,0.934804
0.547283,0.905636
0.496449,0.940138
0.491049,0.965585
0.563319,0.956527
0.594411,0.967907
0.588303,0.948091
0.628019,0.972362
0.608473,0.9611
0.571733,0.960446
0.547159,0.969561
0.574305,0.939738
0.521845,0.931961
0.586425,0.901475
0.572793,0.970364
0.599655,0.953416
0.621403,0.979196
0.625555,0.972056
0.627237,0.963879
0.585661,0.979316
0.575729,0.978149
0.582187,0.959252
0.586075,0.950949
0.607411,0.965026
0.585867,0.974886
0.576465,0.959579
0.586613,0.967026
0.606807,0.963378
0.618543,0.965511
0.616337,0.966882
0.624991,0.959643
0.620241,0.967966
0.602641,0.958339
0.601197,0.962728
0.623171,0.961626
0.614251,0.971653
0.607155,0.95569
0.603687,0.935046
0.618763,0.953667
0.614255,0.94549
0.570421,0.967637
0.570307,0.984442
0.621037,0.957625
0.597281,0.984879
0.591343,0.980367
0.593367,0.964535
0.616041,0.967153
0.590721,0.95662
0.584049,0.936428
0.593539,0.950819
0.590443,0.968824
0.590051,0.964482
0.552581,0.964742
0.579905,0.972361
0.574447,0.964037
0.587159,0.968257
0.579999,0.963488
0.596227,0.968853
0.599397,0.971213
0.603943,0.973786
0.612923,0.962571
0.628757,0.965268
0.637551,0.972655
0.629319,0.964715
0.642707,0.977877
0.642877,0.969345
0.656261,0.984428
0.656935,0.9757
0.660647,0.962599
0.660323,0.98056
0.666917,0.984944
0.661225,0.984273
0.657355,0.970126
0.654245,0.981274
0.653323,0.97745
0.623113,0.964974
0.630885,0.974884
0.641227,0.971882
0.649187,0.970886
0.660903,0.977304
0.660631,0.97888
0.655401,0.978179
0.655331,0.976817
0.646869,0.919095
0.639583,0.976959
0.635875,0.969145
0.633631,0.973859
0.646363,0.986189
0.641405,0.981732
0.618007,0.954467
0.587659,0.960906
0.575515,0.952647
0.492611,0.976412
0.529963,0.962608
0.531399,0.91509
0.553641,0.931823
0.523139,0.968331
0.549387,0.941332
0.514477,0.96908
0.534529,0.977784
0.521123,0.95819
0.533145,0.955626
0.562175,0.856875
0.542867,0.97803
0.606793,0.969613
0.584407,0.94722
0.553069,0.987305
0.598441,0.97259
0.587007,0.97734
0.569431,0.977153
0.597357,0.970106
0.581713,0.957348
0.588969,0.939646
0.568129,0.957231
0.572689,0.951904
0.564807,0.955721
0.598711,0.961393
0.585503,0.978349
0.589717,0.978115
0.606853,0.96689
0.632381,0.971923
0.632257,0.974417
0.639163,0.978248
0.625109,0.989345
0.613847,0.978507
0.632095,0.977322
0.615031,0.976524
0.617023,0.971889
0.631525,0.983872
0.606543,0.951322
0.599799,0.957233
0.593921,0.971074
0.616827,0.97027
0.602065,0.976231
0.589005,0.958789
0.612485,0.955794
0.551487,0.963256
0.500619,0.907718
0.579821,0.91895
0.574095,0.966593
0.609793,0.943153
0.552477,0.946905
0.548503,0.946316
0.523461,0.960739
0.610401,0.963442
0.537525,0.948373
0.476057,0.978871
0.481605,0.962129
0.554853,0.963896
0.573639,0.96842
0.542443,0.977986
0.565459,0.970823
0.569123,0.960864
0.582493,0.957608
0.581901,0.971787
0.580641,0.975716
0.598019,0.973009
0.597289,0.966846
0.580739,0.966836
0.544457,0.95887
0.573003,0.936874
0.578393,0.953564
0.561457,0.944606
0.581231,0.965616
0.606631,0.971157
0.613709,0.970505
0.621369,0.969759
0.641809,0.972074
0.627213,0.978321
0.608391,0.975102
0.603523,0.967323
